case_id,source,gender,ethnic_group,education_level,business_location,income_level,business_type,BPRAC_01_recordkeeping,BPRAC_02_pricing_strategy,BPRAC_03_inventory_mgmt,BPRAC_04_marketing_plan,BPRAC_05_supplier_relations,BPRAC_06_quality_control,BPRAC_score,FIN_01_bank_account,FIN_02_mobile_money,FIN_03_business_loan_access,FIN_04_collateral_available,FIN_05_credit_history,FIN_06_mfi_membership,FIN_07_savings_buffer,FIN_08_insurance_cover,FIN_09_formal_registration,FIN_10_tax_id,FIN_11_invoice_use,FIN_12_grant_access,FIN_13_investor_contact,FIN_14_digital_payments,FIN_score,ENVO_01_local_demand,ENVO_02_road_access,ENVO_03_electricity,ENVO_04_internet_quality,ENVO_05_logistics_delivery,ENVO_06_competitor_density,ENVO_07_govt_service_access,ENVO_08_market_distance,ENVO_09_supplier_proximity,ENVO_score,EPSY_01_risk_tolerance,EPSY_02_need_achievement,EPSY_03_innovativeness,EPSY_04_self_efficacy,EPSY_05_locus_control,EPSY_06_persistence,EPSY_07_opportunity_alertness,EPSY_08_autonomy_pref,EPSY_09_proactiveness,EPSY_10_tolerance_ambiguity,EPSY_11_goal_orientation,EPSY_12_resilience,EPSY_13_creativity,EPSY_14_leadership,EPSY_15_networking_drive,EPSY_16_learning_orientation,EPSY_17_competitiveness,EPSY_18_optimism,EPSY_19_decisiveness,EPSY_20_stress_tolerance,EPSY_21_vision,EPSY_22_adaptability,EPSY_score,BEASE_01_registration_ease,BEASE_02_license_time,BEASE_03_tax_simplicity,BEASE_04_permit_access,BEASE_05_digital_govt_services,BEASE_06_compliance_burden_low,BEASE_07_property_rights,BEASE_08_contract_enforcement,BEASE_09_customs_ease,BEASE_10_utility_connection_ease,BEASE_11_credit_info_access,BEASE_12_investor_protection,BEASE_13_trade_license_renewal,BEASE_14_one_stop_service,BEASE_15_regulatory_clarity,BEASE_score,BPRAC_fz,FIN_fz,ENVO_fz,EPSY_fz,BEASE_fz,GROWTH_monthly_revenue_usd,GROWTH_growth_rate_selfrep,GROWTH_page_analytics_idx,GROWTH_score,GROWTH_fz,GROWTH_binary
IP_011,IP,Male,Chakma,Graduate/Postgraduate,Rangamati,Middle,Apparel and Cosmetics,4,2,3,2,4,3,0.503,4,2,3,4,3,3,4,4,4,4,2,3,3,4,0.6,2,4,3,2,2,3,3,5,4,0.513,1,5,4,2,4,3,4,2,4,3,5,3,3,4,3,5,3,4,5,3,4,3,0.647,3,3,5,3,3,3,3,3,3,4,3,3,2,4,3,0.541,0.507,0.62,0.58,0.621,0.599,1514,42.6,38.0,0.548,0.695,1
IP_012,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,Middle,Apparel and Cosmetics,1,3,4,2,1,4,0.389,2,2,3,4,4,4,3,5,3,5,1,1,3,2,0.491,3,4,3,3,4,4,3,4,5,0.69,3,2,3,4,2,3,3,3,3,3,2,4,4,4,3,4,3,4,4,4,3,2,0.57,3,2,3,2,5,3,2,3,4,2,3,3,2,2,4,0.446,0.265,0.359,0.887,0.422,0.371,1877,35.7,65.8,0.63,0.82,1
IP_013,IP,Male,Tripura,Graduate/Postgraduate,Dhaka,Lower,Apparel and Cosmetics,2,3,5,2,1,2,0.392,2,3,4,1,3,3,3,2,3,4,3,3,3,2,0.487,4,2,3,3,3,3,3,3,2,0.472,3,2,1,4,3,3,3,1,3,2,4,4,4,3,3,3,3,4,3,3,5,3,0.512,2,4,3,3,4,1,3,2,2,3,4,3,3,2,4,0.453,0.27,0.35,0.48,0.284,0.387,1556,27.9,44.0,0.507,0.618,1
IP_014,IP,Female,Chakma,Graduate/Postgraduate,Bandarban,Middle,Food and Agriculture,3,2,3,2,3,2,0.399,1,4,1,3,3,1,2,2,1,3,4,2,2,2,0.276,1,1,2,3,2,2,1,2,2,0.2,1,2,1,1,1,1,2,1,2,1,2,1,2,3,3,1,2,1,1,2,1,2,0.144,1,2,3,3,2,2,2,4,2,2,3,2,3,4,1,0.36,0.283,0.064,0.06,0.008,0.202,1032,25.3,36.2,0.404,0.404,0
IP_015,IP,Male,Marma,Graduate/Postgraduate,Khagrachhari,High,Food and Agriculture,2,3,3,1,1,2,0.266,3,3,3,3,4,3,5,2,3,5,4,3,3,5,0.642,3,2,1,2,3,2,1,1,2,0.234,3,4,3,4,1,3,1,2,2,4,3,1,4,2,1,2,2,2,4,1,2,3,0.341,3,3,3,3,5,4,5,3,5,4,3,3,4,4,3,0.671,0.104,0.712,0.082,0.062,0.843,2656,35.2,88.0,0.734,0.916,1
IP_016,IP,Female,Chakma,Graduate/Postgraduate,Rangamati,Middle,Apparel and Cosmetics,2,3,1,3,1,2,0.213,3,4,5,3,2,2,4,1,3,4,3,3,3,3,0.492,3,4,3,2,4,2,2,2,2,0.451,2,3,2,1,3,2,1,2,1,3,3,3,4,3,3,3,3,3,2,3,3,3,0.386,3,2,3,3,2,4,3,2,4,3,3,3,3,2,3,0.441,0.067,0.361,0.429,0.095,0.359,918,9.8,32.5,0.281,0.194,0
IP_017,IP,Male,Chakma,Graduate/Postgraduate,Khagrachhari,High,Apparel and Cosmetics,2,4,1,1,2,3,0.29,5,3,3,3,3,2,4,4,3,4,3,4,4,2,0.595,2,1,3,3,2,2,1,1,3,0.251,2,3,3,3,2,1,3,3,3,1,2,3,2,3,3,2,3,2,2,1,2,3,0.361,4,3,3,4,3,5,5,2,3,4,3,4,5,5,5,0.724,0.126,0.609,0.096,0.075,0.9,2271,30.5,56.0,0.696,0.888,1
IP_018,IP,Female,Chakma,Graduate/Postgraduate,Rangamati,High,Apparel and Cosmetics,2,1,1,2,1,3,0.122,3,2,3,3,1,1,1,2,2,3,2,3,2,3,0.303,1,1,2,2,1,1,1,1,1,0.065,2,2,3,1,1,2,2,2,2,2,3,2,2,1,1,3,2,1,2,1,2,1,0.209,2,2,2,3,3,3,3,2,3,3,1,2,2,3,3,0.372,0.03,0.081,0.017,0.016,0.222,473,-10.0,4.7,0.056,0.035,0
IP_019,IP,Female,Marma,Graduate/Postgraduate,Khagrachhari,Lower,Apparel and Cosmetics,3,3,5,4,4,3,0.671,3,2,5,4,3,3,4,4,4,4,4,4,4,4,0.624,2,3,4,3,3,3,2,3,2,0.478,3,3,2,3,5,4,5,4,3,4,4,3,2,3,2,2,5,3,2,3,3,3,0.598,5,3,3,3,4,4,3,3,4,4,1,4,3,5,5,0.671,0.828,0.674,0.495,0.495,0.843,2114,40.8,75.7,0.704,0.894,1
IP_020,IP,Female,Chakma,Graduate/Postgraduate,Khagrachhari,High,Apparel and Cosmetics,2,3,3,3,4,3,0.55,3,4,4,3,3,2,3,2,2,3,4,4,5,5,0.582,1,2,1,3,3,3,3,1,1,0.25,2,1,2,2,2,2,1,1,2,3,1,2,3,2,2,2,1,4,4,2,1,2,0.27,4,2,3,4,2,3,3,3,3,3,3,4,4,3,3,0.515,0.613,0.578,0.095,0.03,0.537,1917,34.3,69.1,0.64,0.832,1
IP_021,IP,Female,Chakma,Graduate/Postgraduate,Bandarban,Middle,Apparel and Cosmetics,2,3,3,2,1,3,0.375,2,3,5,3,4,3,4,3,3,3,3,3,3,3,0.528,1,2,2,1,2,2,3,2,1,0.181,2,3,2,3,2,1,2,1,3,2,3,3,1,1,2,1,2,3,2,3,4,2,0.282,5,5,3,2,4,3,1,3,2,3,4,2,2,3,2,0.445,0.24,0.446,0.05,0.034,0.368,326,2.2,25.5,0.291,0.208,0
IP_022,IP,Male,Chakma,Graduate/Postgraduate,Dhaka,Lower,Apparel and Cosmetics,4,2,3,3,3,4,0.548,4,3,3,5,4,5,3,4,4,3,3,4,4,3,0.708,4,3,5,5,4,4,5,4,5,0.808,3,3,4,2,3,5,5,3,5,3,3,5,3,4,4,5,5,3,3,2,3,3,0.632,2,3,5,3,3,3,2,3,2,4,4,4,3,3,3,0.539,0.609,0.825,0.962,0.583,0.595,3976,67.5,90.0,0.897,0.977,1
IP_023,IP,Female,Chakma,Secondary,Other (inside BD),Middle,Apparel and Cosmetics,2,1,1,3,1,2,0.17,1,2,3,3,2,2,2,3,2,2,1,3,2,2,0.293,2,2,1,2,2,1,1,1,1,0.09,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,3,1,0.089,2,2,1,1,2,1,2,2,2,3,2,2,2,1,2,0.168,0.046,0.074,0.021,0.005,0.037,943,23.9,19.4,0.224,0.13,0
IP_024,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,Middle,Apparel and Cosmetics,2,2,1,3,3,3,0.335,4,4,4,5,5,3,4,4,5,3,4,4,3,4,0.765,3,3,2,3,4,4,3,3,4,0.519,2,1,2,3,2,2,3,2,3,2,3,2,1,3,2,2,3,2,2,2,2,1,0.276,4,5,4,5,4,4,3,5,5,4,3,4,4,4,2,0.752,0.18,0.892,0.595,0.032,0.922,2171,31.9,82.8,0.684,0.877,1
IP_025,IP,Female,Chakma,Higher Secondary,Dhaka,Middle,Apparel and Cosmetics,3,4,4,3,3,2,0.532,3,4,3,3,3,4,3,4,2,2,4,3,4,4,0.609,3,2,4,3,4,2,4,4,4,0.573,3,3,2,3,2,3,2,3,3,2,3,4,1,4,3,5,2,3,2,2,5,2,0.437,3,2,4,5,5,5,4,3,4,4,2,5,3,2,4,0.661,0.573,0.641,0.714,0.153,0.829,2943,59.7,78.6,0.77,0.937,1
IP_026,IP,Non-binary,Tripura,Graduate/Postgraduate,Dhaka,Middle,Apparel and Cosmetics,2,3,2,3,5,4,0.544,2,3,4,4,4,4,4,5,4,4,5,3,4,3,0.72,2,4,5,4,5,3,2,4,5,0.689,2,4,3,3,2,2,2,3,3,4,3,3,3,3,2,3,4,2,3,2,3,2,0.424,4,4,5,3,3,4,5,3,3,4,4,5,4,4,5,0.778,0.6,0.841,0.886,0.136,0.939,4436,61.5,93.7,0.98,0.989,1
IP_027,IP,Female,Chakma,Graduate/Postgraduate,Bandarban,Middle,Apparel and Cosmetics,3,4,5,4,5,3,0.772,3,2,3,2,5,5,3,3,4,4,3,3,3,4,0.576,3,4,2,3,4,2,3,2,3,0.482,2,2,4,4,4,4,4,4,2,5,3,4,4,4,4,3,3,3,5,4,4,4,0.635,5,4,5,4,4,3,3,4,4,5,2,2,3,4,3,0.651,0.924,0.563,0.505,0.591,0.815,2342,39.4,70.9,0.674,0.868,1
IP_028,IP,Female,Chakma,Higher Secondary,Other (inside BD),Middle,Education,2,2,1,1,2,3,0.206,2,1,1,2,2,1,2,1,2,2,2,1,2,2,0.156,2,2,3,2,2,4,3,2,3,0.362,2,3,1,3,1,1,1,2,3,4,1,2,2,2,1,1,3,2,2,3,1,2,0.243,2,1,3,2,2,1,1,2,1,1,2,1,1,1,2,0.129,0.063,0.02,0.239,0.023,0.026,736,15.9,11.9,0.147,0.072,0
IP_029,IP,Female,Chakma,Higher Secondary,Dhaka,Middle,Apparel and Cosmetics,3,2,2,3,2,2,0.344,3,4,2,3,2,2,3,3,4,1,3,3,4,1,0.432,3,3,3,5,3,3,3,4,3,0.587,2,2,1,2,2,2,3,3,4,3,3,1,3,2,3,2,3,4,4,2,3,2,0.355,3,4,2,2,3,2,2,4,3,3,4,2,1,2,3,0.4,0.192,0.239,0.741,0.071,0.273,921,11.7,40.3,0.388,0.372,0
IP_030,IP,Female,Tanchangya,Graduate/Postgraduate,Rangamati,Middle,Apparel and Cosmetics,3,2,1,2,2,1,0.208,3,5,1,5,3,2,3,4,2,2,1,3,2,4,0.444,1,2,3,2,3,2,1,1,2,0.193,4,1,1,3,2,4,1,2,2,1,1,1,2,1,2,2,3,1,2,3,1,3,0.253,2,4,3,3,2,2,3,4,3,3,3,2,3,3,2,0.449,0.064,0.261,0.056,0.025,0.377,415,22.1,14.6,0.167,0.085,0
IP_031,IP,Male,Tripura,Primary,Rangamati,Middle,Apparel and Cosmetics,1,2,3,2,2,3,0.343,3,3,4,2,1,3,3,2,1,3,2,3,1,4,0.371,3,2,4,1,2,1,2,5,1,0.361,1,3,2,3,2,4,2,2,3,4,2,2,2,2,1,3,3,1,2,3,2,4,0.362,2,1,2,3,3,2,1,2,3,3,3,3,2,2,2,0.314,0.191,0.147,0.237,0.076,0.139,949,20.5,37.3,0.331,0.269,0
IP_032,IP,Female,Tripura,Graduate/Postgraduate,Bandarban,Middle,Apparel and Cosmetics,2,3,2,2,4,4,0.458,3,3,3,3,2,2,4,3,3,2,4,3,5,2,0.511,3,2,3,2,4,3,2,4,4,0.533,4,3,4,3,4,3,4,2,3,3,2,2,5,3,3,3,4,3,2,2,2,4,0.546,3,4,2,2,3,1,2,4,2,3,3,4,4,3,5,0.467,0.405,0.405,0.627,0.362,0.42,1485,23.3,43.6,0.449,0.498,0
IP_033,IP,Male,Chakma,Secondary,Rangamati,Middle,Apparel and Cosmetics,1,4,2,4,1,2,0.336,1,4,4,1,3,2,3,2,2,1,2,1,1,2,0.248,2,1,2,2,2,2,2,2,1,0.21,2,3,1,2,4,1,3,3,2,3,2,3,3,2,2,1,2,3,2,3,2,2,0.342,2,2,1,4,3,1,2,1,1,4,3,4,2,2,2,0.328,0.181,0.049,0.066,0.062,0.156,589,13.6,17.2,0.154,0.077,0
IP_034,IP,Female,Marma,Graduate/Postgraduate,Dhaka,Lower,Apparel and Cosmetics,3,2,4,3,4,2,0.486,3,3,4,3,3,3,3,3,5,4,3,2,3,5,0.587,2,2,3,3,4,2,5,4,4,0.546,3,4,1,2,3,4,2,3,3,2,2,2,2,1,2,2,2,2,4,2,3,4,0.388,4,4,5,5,3,5,4,4,3,5,4,3,4,3,4,0.757,0.468,0.59,0.657,0.097,0.926,3494,64.5,91.2,0.866,0.971,1
IP_035,IP,Male,Chakma,Secondary,Khagrachhari,Middle,Food and Agriculture,3,3,2,4,4,4,0.549,2,3,2,4,3,3,4,2,3,2,4,2,3,2,0.403,2,3,1,3,1,2,3,3,4,0.37,4,2,3,3,3,5,4,4,4,4,4,3,4,3,3,4,1,3,3,2,3,3,0.597,2,2,1,3,4,2,2,4,4,3,2,2,3,3,3,0.39,0.611,0.191,0.254,0.492,0.254,1702,30.7,44.9,0.438,0.475,0
IP_036,IP,Female,Tripura,Graduate/Postgraduate,Rangamati,Middle,Food and Agriculture,4,3,3,4,3,3,0.581,4,4,2,3,3,2,2,4,3,4,3,3,2,3,0.484,3,3,3,2,2,2,3,3,2,0.402,2,4,3,4,3,3,1,3,3,3,3,2,4,3,3,3,2,3,4,4,4,4,0.524,2,4,3,3,2,4,3,4,3,2,3,2,2,3,3,0.466,0.678,0.343,0.317,0.31,0.417,1188,23.0,50.6,0.523,0.649,1
IP_037,IP,Female,Marma,Secondary,Other (outside BD),Middle,Food and Agriculture,3,2,1,3,3,2,0.307,1,2,3,3,1,3,3,3,2,1,4,3,2,3,0.35,1,2,3,2,3,1,1,2,1,0.181,3,1,2,2,2,2,3,3,2,3,4,2,2,4,1,3,2,1,1,2,2,2,0.258,2,1,3,2,2,2,3,2,3,1,2,2,2,3,1,0.263,0.145,0.123,0.05,0.027,0.089,658,25.0,21.7,0.227,0.133,0
IP_038,IP,Female,Marma,Higher Secondary,Other (inside BD),Middle,Education,1,3,1,3,2,1,0.194,4,4,4,2,3,3,2,3,4,2,3,3,4,3,0.524,2,2,2,2,2,2,2,1,2,0.234,2,2,3,3,2,3,2,2,1,3,2,2,2,3,2,4,3,1,4,2,2,2,0.349,3,4,3,3,4,3,3,3,4,4,5,3,3,4,2,0.618,0.056,0.437,0.082,0.067,0.761,975,39.7,41.6,0.41,0.417,0
IP_039,IP,Female,Chakma,Secondary,Rangamati,High,E-commerce,2,3,3,1,3,2,0.363,4,2,1,2,1,4,2,2,2,2,2,1,3,2,0.281,2,3,2,2,2,3,2,2,2,0.311,2,2,1,1,3,2,1,2,2,1,1,1,2,1,3,2,2,3,3,2,3,3,0.265,1,3,1,2,3,1,4,2,3,2,2,3,3,3,3,0.323,0.221,0.067,0.16,0.029,0.15,565,10.3,4.5,0.02,0.026,0
IP_040,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,Middle,Apparel and Cosmetics,3,3,4,4,2,1,0.482,2,4,5,3,3,5,2,2,3,3,3,3,3,4,0.565,2,3,3,3,3,3,1,2,4,0.435,2,3,1,4,1,3,2,3,3,3,1,4,3,3,3,2,2,1,2,3,2,2,0.385,3,3,4,2,2,3,3,2,3,1,3,2,3,3,2,0.41,0.459,0.537,0.391,0.094,0.292,1831,56.0,70.8,0.601,0.781,1
IP_041,IP,Female,Marma,Graduate/Postgraduate,Rangamati,High,Food and Agriculture,2,2,1,3,3,1,0.23,2,3,3,3,1,4,4,2,4,3,3,3,4,3,0.503,3,2,2,1,1,1,1,2,2,0.155,3,1,3,2,3,2,1,1,3,2,1,1,1,2,4,3,3,2,2,3,2,2,0.282,4,3,2,1,4,2,5,4,3,3,3,2,3,4,2,0.481,0.077,0.387,0.04,0.034,0.454,1479,34.4,29.2,0.43,0.458,0
IP_042,IP,Male,Chakma,Secondary,Khagrachhari,High,E-commerce,5,2,4,3,2,1,0.456,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0.036,3,3,2,3,2,1,3,1,3,0.357,3,3,2,3,1,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,3,2,0.419,1,1,1,2,1,2,4,1,1,3,1,1,1,3,1,0.162,0.4,0.006,0.23,0.13,0.035,689,-4.2,12.3,0.161,0.081,0
IP_043,IP,Female,Chakma,Graduate/Postgraduate,Other (inside BD),Middle,Apparel and Cosmetics,2,2,3,2,2,3,0.329,2,2,3,2,3,2,3,1,4,3,1,3,4,3,0.389,3,2,3,3,3,3,2,2,3,0.405,3,3,3,4,3,2,2,2,3,3,3,2,2,4,2,2,2,4,2,1,2,2,0.379,1,1,3,2,2,3,2,1,2,4,3,3,2,3,2,0.321,0.172,0.171,0.324,0.089,0.147,835,17.4,11.9,0.174,0.089,0
IP_044,IP,Female,Chakma,Graduate/Postgraduate,Khagrachhari,High,Apparel and Cosmetics,4,3,3,1,3,2,0.43,3,4,4,2,4,2,5,5,3,5,5,3,3,2,0.639,3,2,2,2,2,5,3,3,5,0.503,3,5,2,5,3,4,3,4,2,2,3,4,4,3,5,4,3,3,5,3,3,4,0.604,3,2,2,3,4,4,3,3,3,3,2,4,4,2,5,0.533,0.344,0.705,0.556,0.511,0.58,1023,22.5,28.9,0.268,0.178,0
IP_045,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,High,Apparel and Cosmetics,4,5,4,3,3,3,0.688,3,4,2,1,4,4,4,3,2,2,2,4,2,3,0.461,4,4,4,3,4,4,4,5,5,0.766,5,4,3,4,4,2,4,4,5,5,5,5,3,3,4,3,4,3,4,5,3,3,0.723,3,4,3,2,5,2,3,4,4,2,4,4,3,3,4,0.579,0.849,0.295,0.943,0.785,0.685,1971,46.4,48.1,0.57,0.733,1
IP_046,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,Lower,Food and Agriculture,3,2,2,2,3,3,0.356,4,3,4,4,1,3,4,4,3,2,3,2,3,3,0.535,3,2,3,4,3,4,2,3,2,0.478,3,1,1,3,2,1,3,3,2,3,3,2,3,1,3,3,3,2,4,2,4,3,0.366,3,1,2,3,2,5,3,3,1,2,4,3,3,3,4,0.449,0.21,0.463,0.495,0.079,0.377,1368,28.1,41.6,0.459,0.519,1
IP_047,IP,Female,Tanchangya,Graduate/Postgraduate,Rangamati,High,Food and Agriculture,1,4,3,4,3,3,0.518,3,5,4,3,2,4,3,3,4,3,4,5,3,5,0.642,2,2,2,3,4,4,2,3,3,0.439,5,3,2,3,2,3,2,3,4,2,3,3,3,1,3,2,3,1,1,2,3,1,0.343,3,2,4,4,5,4,5,4,5,2,4,4,1,4,5,0.725,0.541,0.712,0.401,0.063,0.901,3547,51.1,81.7,0.865,0.97,1
IP_048,IP,Female,Chakma,Graduate/Postgraduate,Rangamati,Lower,Apparel and Cosmetics,2,1,2,1,3,1,0.155,4,2,2,2,3,3,2,2,3,3,4,3,3,2,0.42,2,2,2,4,2,4,2,2,2,0.357,2,1,1,1,3,2,1,2,1,2,2,3,2,1,2,3,3,2,2,3,1,3,0.203,3,2,2,1,3,4,2,2,4,2,2,2,2,3,4,0.396,0.04,0.218,0.23,0.015,0.265,605,-10.0,5.3,0.118,0.058,0
IP_049,IP,Male,Chakma,Graduate/Postgraduate,Bandarban,Middle,Apparel and Cosmetics,1,3,2,2,2,2,0.27,1,2,2,2,2,2,1,1,3,1,2,1,2,2,0.179,2,2,2,1,1,4,1,1,3,0.212,2,2,1,3,2,1,2,2,2,2,3,1,3,1,1,2,1,2,1,4,3,3,0.249,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,0.121,0.108,0.026,0.067,0.024,0.024,504,-1.8,8.4,0.072,0.04,0
