case_id,source,gender,ethnic_group,education_level,business_location,income_level,business_type,BPRAC_01_recordkeeping,BPRAC_02_pricing_strategy,BPRAC_03_inventory_mgmt,BPRAC_04_marketing_plan,BPRAC_05_supplier_relations,BPRAC_06_quality_control,BPRAC_score,FIN_01_bank_account,FIN_02_mobile_money,FIN_03_business_loan_access,FIN_04_collateral_available,FIN_05_credit_history,FIN_06_mfi_membership,FIN_07_savings_buffer,FIN_08_insurance_cover,FIN_09_formal_registration,FIN_10_tax_id,FIN_11_invoice_use,FIN_12_grant_access,FIN_13_investor_contact,FIN_14_digital_payments,FIN_score,ENVO_01_local_demand,ENVO_02_road_access,ENVO_03_electricity,ENVO_04_internet_quality,ENVO_05_logistics_delivery,ENVO_06_competitor_density,ENVO_07_govt_service_access,ENVO_08_market_distance,ENVO_09_supplier_proximity,ENVO_score,EPSY_01_risk_tolerance,EPSY_02_need_achievement,EPSY_03_innovativeness,EPSY_04_self_efficacy,EPSY_05_locus_control,EPSY_06_persistence,EPSY_07_opportunity_alertness,EPSY_08_autonomy_pref,EPSY_09_proactiveness,EPSY_10_tolerance_ambiguity,EPSY_11_goal_orientation,EPSY_12_resilience,EPSY_13_creativity,EPSY_14_leadership,EPSY_15_networking_drive,EPSY_16_learning_orientation,EPSY_17_competitiveness,EPSY_18_optimism,EPSY_19_decisiveness,EPSY_20_stress_tolerance,EPSY_21_vision,EPSY_22_adaptability,EPSY_score,BEASE_01_registration_ease,BEASE_02_license_time,BEASE_03_tax_simplicity,BEASE_04_permit_access,BEASE_05_digital_govt_services,BEASE_06_compliance_burden_low,BEASE_07_property_rights,BEASE_08_contract_enforcement,BEASE_09_customs_ease,BEASE_10_utility_connection_ease,BEASE_11_credit_info_access,BEASE_12_investor_protection,BEASE_13_trade_license_renewal,BEASE_14_one_stop_service,BEASE_15_regulatory_clarity,BEASE_score,BPRAC_fz,FIN_fz,ENVO_fz,EPSY_fz,BEASE_fz,GROWTH_monthly_revenue_usd,GROWTH_growth_rate_selfrep,GROWTH_page_analytics_idx,GROWTH_score,GROWTH_fz,GROWTH_binary,SURV_01_BEASE_1,SURV_02_BEASE_2,SURV_03_BEASE_3,SURV_04_BEASE_4,SURV_05_BEASE_5,SURV_06_FIN_1,SURV_07_FIN_2,SURV_08_FIN_3,SURV_09_FIN_4,SURV_10_FIN_5,SURV_11_FIN_6,SURV_12_BPRAC_1,SURV_13_BPRAC_2,SURV_14_BPRAC_3,SURV_15_BPRAC_4,SURV_16_BPRAC_5,SURV_17_EPSY_1,SURV_18_EPSY_2,SURV_19_EPSY_3,SURV_20_EPSY_4,SURV_21_EPSY_5,SURV_22_ENVO_1,SURV_23_ENVO_2,SURV_24_ENVO_3,SURV_25_ENVO_4,SURV_26_ENVO_5,SURV_27_DIGITAL_LEGAL_1,SURV_28_DIGITAL_LEGAL_2,SURV_29_DIGITAL_LEGAL_3,SURV_30_DIGITAL_LEGAL_4
FoBS_011,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),4,3,3,5,4,3,0.667,3,2,1,4,1,3,2,4,3,2,3,3,2,2,0.375,2,4,2,2,3,2,3,2,5,0.444,4,5,5,3,3,3,3,2,3,4,3,3,4,5,3,4,3,2,2,4,2,3,0.58,4,3,3,1,3,3,1,3,3,3,3,3,3,2,4,0.45,0.823,0.152,0.414,0.446,0.38,1697,21.4,57.3,0.528,0.658,1,5,4,5,3,1,1,1,4,5,2,1,1,5,5,1,1,3,5,4,5,2,4,4,1,1,2,4,4,1,3
FoBS_012,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,2,2,1,2,2,0.208,2,1,2,3,4,3,2,2,3,2,2,3,1,3,0.339,1,2,2,3,3,1,2,4,2,0.306,4,1,2,2,3,2,3,1,3,2,2,1,1,2,1,1,1,2,1,1,2,1,0.193,2,2,3,3,3,3,2,2,4,5,2,2,1,2,3,0.4,0.064,0.112,0.153,0.014,0.273,870,23.6,39.5,0.313,0.239,0,1,4,3,5,2,4,3,1,1,3,1,3,1,2,3,3,1,3,5,3,4,1,3,3,1,3,1,2,4,5
FoBS_013,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,3,3,3,2,4,0.458,1,4,1,2,3,2,3,3,3,3,2,3,1,2,0.339,4,4,3,2,5,2,5,3,3,0.611,2,2,3,2,3,2,1,2,3,2,3,2,2,2,2,3,3,4,2,3,2,4,0.364,2,4,3,4,1,3,2,3,2,1,4,2,2,2,2,0.367,0.405,0.112,0.784,0.077,0.213,1142,33.1,45.6,0.459,0.52,1,5,1,1,2,5,3,3,2,3,4,2,1,3,5,2,3,5,2,3,3,4,3,3,5,5,3,3,5,2,4
FoBS_014,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,3,3,2,2,2,0.375,2,3,2,2,3,3,1,1,1,3,4,3,3,4,0.375,3,3,3,4,3,4,2,2,4,0.528,3,2,2,3,3,3,4,4,5,4,2,3,4,4,3,3,3,3,2,4,3,3,0.545,2,1,2,2,3,2,3,3,3,4,3,3,1,4,3,0.4,0.24,0.152,0.615,0.36,0.273,1183,27.7,40.7,0.398,0.392,0,1,4,4,5,4,3,5,2,2,3,2,4,2,2,1,1,1,4,2,3,4,3,4,1,2,3,1,2,4,3
FoBS_015,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,3,3,4,3,3,0.5,3,3,3,3,1,3,3,3,5,2,2,4,3,1,0.446,3,4,2,4,3,3,4,3,3,0.556,4,2,2,3,3,1,3,4,2,5,1,3,3,2,2,2,2,4,3,3,2,1,0.398,3,2,2,4,3,4,4,3,3,2,3,2,4,3,4,0.517,0.5,0.266,0.677,0.106,0.541,2005,45.8,65.9,0.682,0.876,1,4,5,5,5,4,4,5,4,1,4,5,5,2,1,2,5,3,1,5,2,1,4,4,2,2,1,5,3,1,3
FoBS_016,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),1,1,3,1,2,3,0.208,2,3,2,3,3,2,3,1,2,1,3,2,3,3,0.339,3,2,2,4,2,4,2,2,2,0.389,3,1,3,2,3,5,1,4,3,3,2,3,2,1,3,2,1,2,2,1,3,3,0.352,2,1,3,1,2,2,1,3,2,3,2,3,1,3,2,0.267,0.064,0.112,0.29,0.069,0.092,676,-10.0,1.2,0.142,0.069,0,1,4,1,3,3,5,4,1,3,4,1,2,5,5,3,5,1,4,3,3,4,2,3,5,4,4,5,1,3,3
FoBS_017,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),1,2,2,2,2,1,0.167,5,4,2,4,3,2,4,4,2,3,2,3,5,2,0.554,1,2,1,2,2,3,1,1,1,0.139,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,3,1,1,3,1,1,1,0.148,2,4,4,2,3,2,4,2,3,4,3,2,4,3,4,0.517,0.044,0.509,0.034,0.009,0.541,1925,28.7,57.0,0.633,0.823,1,3,5,1,4,4,4,4,2,3,4,2,2,3,2,2,5,3,4,3,3,3,5,2,3,3,3,3,2,2,3
FoBS_018,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),1,2,3,4,2,2,0.333,2,3,3,3,2,2,2,2,3,3,3,2,2,2,0.357,3,4,4,1,3,2,1,3,2,0.389,4,2,4,1,4,2,2,3,3,5,4,3,3,3,2,2,3,3,2,4,3,3,0.489,2,3,4,2,2,5,2,2,3,5,2,4,2,2,2,0.45,0.177,0.131,0.29,0.237,0.38,444,20.3,2.6,0.185,0.097,0,3,1,2,2,3,2,5,4,1,4,4,4,2,5,4,4,5,4,1,2,4,5,4,2,2,2,5,3,5,4
FoBS_019,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,2,2,3,1,5,0.375,5,2,4,2,4,4,3,2,4,3,5,4,4,3,0.625,4,3,3,3,3,3,2,4,4,0.556,4,2,3,1,4,3,3,1,3,4,1,2,3,2,3,3,2,3,2,4,3,3,0.42,3,2,3,4,4,4,3,5,4,5,3,4,3,3,3,0.633,0.24,0.676,0.677,0.131,0.787,1475,32.1,55.7,0.593,0.77,1,2,3,1,2,4,1,2,2,4,3,2,4,4,2,5,3,3,4,2,5,3,4,5,5,2,3,4,1,3,2
FoBS_020,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),1,2,1,2,4,2,0.25,3,2,2,2,3,2,4,2,4,1,2,2,2,2,0.339,3,2,2,2,1,2,1,3,3,0.278,1,1,2,2,3,3,1,3,2,3,3,1,1,2,3,1,2,1,3,3,4,2,0.284,2,3,4,2,3,4,1,2,2,1,2,1,2,2,3,0.317,0.091,0.112,0.121,0.035,0.142,928,28.5,30.7,0.314,0.241,0,4,5,3,4,5,5,1,5,2,1,4,4,4,4,5,1,4,2,3,2,5,4,3,4,3,5,5,1,2,4
FoBS_021,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,2,1,3,2,2,0.292,1,2,3,1,2,2,2,3,1,1,2,1,1,1,0.161,3,3,2,4,3,1,3,4,2,0.444,4,1,2,1,3,1,2,2,2,3,2,2,2,3,3,3,1,2,3,2,3,2,0.307,2,1,3,1,2,3,1,1,3,1,2,2,2,1,1,0.183,0.128,0.021,0.414,0.044,0.043,665,15.3,6.2,0.109,0.054,0,2,1,4,1,4,2,4,5,4,1,1,1,2,2,3,3,1,1,3,1,4,5,4,2,2,2,3,5,5,1
FoBS_022,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),4,3,2,1,3,3,0.417,3,4,4,3,4,3,3,4,4,1,5,3,3,2,0.571,4,2,4,3,3,5,3,4,4,0.639,3,2,4,2,2,4,3,4,2,2,3,3,2,1,2,1,2,1,4,2,1,4,0.364,3,4,3,4,2,2,4,2,3,3,2,3,2,2,4,0.467,0.317,0.552,0.826,0.077,0.419,1512,34.7,54.0,0.589,0.763,1,5,3,2,3,2,4,3,5,4,3,5,2,5,4,4,1,3,3,1,3,4,2,4,2,4,5,5,2,4,2
FoBS_023,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,2,1,3,3,1,0.25,3,3,4,1,2,1,1,4,2,3,1,2,2,3,0.321,3,2,2,2,3,2,3,2,2,0.333,1,1,2,1,2,2,2,4,2,1,2,1,1,1,2,2,2,3,3,2,1,1,0.193,1,3,3,1,1,2,3,1,2,3,2,3,3,4,2,0.317,0.091,0.096,0.192,0.014,0.142,999,10.1,31.7,0.346,0.294,0,3,5,4,4,2,4,2,3,2,5,3,3,1,1,4,4,3,5,1,1,4,5,3,4,1,4,3,2,4,5
FoBS_024,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),1,2,3,1,3,2,0.25,2,3,3,3,3,4,4,2,2,3,4,5,3,3,0.536,1,2,3,1,1,2,3,2,1,0.194,2,3,2,2,3,1,3,2,3,4,4,2,3,3,2,3,2,2,3,3,2,3,0.398,3,3,3,3,3,3,3,2,3,2,4,3,4,3,2,0.483,0.091,0.465,0.057,0.106,0.459,1879,42.0,64.1,0.595,0.772,1,5,2,2,2,5,4,2,1,4,2,4,2,4,4,4,1,5,3,5,4,3,1,3,1,1,2,3,3,1,3
FoBS_025,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,3,3,3,3,4,0.542,4,2,1,2,2,2,4,4,1,3,3,1,3,1,0.339,2,1,1,1,3,2,3,3,1,0.222,3,3,2,2,3,3,4,3,3,3,4,4,3,3,2,1,1,3,3,1,2,3,0.42,1,2,3,3,5,4,2,4,4,2,3,4,3,3,3,0.517,0.595,0.112,0.074,0.131,0.541,967,36.1,50.0,0.459,0.519,1,1,4,3,2,5,2,4,2,2,4,4,2,4,4,3,2,1,3,5,2,5,4,4,5,4,5,5,5,1,3
FoBS_026,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,4,2,4,5,4,0.667,4,4,4,2,5,3,3,3,3,4,4,4,4,3,0.643,4,4,3,5,2,4,5,4,3,0.694,4,2,4,2,5,5,3,3,3,4,3,3,2,4,3,3,5,4,4,3,5,4,0.636,3,3,3,4,5,2,5,3,4,3,2,3,3,3,3,0.567,0.823,0.713,0.891,0.594,0.658,3665,67.2,101.6,0.883,0.974,1,2,5,4,3,1,5,2,3,4,4,5,2,1,2,2,2,3,4,4,5,3,5,3,2,1,4,5,1,1,5
FoBS_027,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,3,2,2,3,2,0.333,1,4,1,3,2,2,2,1,1,2,2,1,2,2,0.214,2,4,3,3,4,5,4,4,4,0.667,3,2,2,2,4,1,1,1,1,2,2,4,3,1,2,2,2,2,2,2,3,2,0.273,3,3,4,1,3,3,3,3,2,2,4,4,3,3,3,0.483,0.177,0.036,0.862,0.031,0.459,1083,26.1,41.9,0.428,0.454,0,3,5,2,2,3,2,3,2,1,3,3,4,2,4,3,3,5,1,5,1,1,1,4,4,2,2,1,1,3,2
FoBS_028,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),4,2,5,3,4,4,0.667,2,2,4,2,3,3,3,4,3,3,3,2,2,3,0.446,4,2,3,2,3,2,3,3,3,0.444,3,2,3,4,4,2,3,3,4,4,2,2,2,3,3,4,2,3,3,3,2,3,0.477,1,4,3,3,4,3,4,5,2,1,3,2,2,3,2,0.45,0.823,0.266,0.414,0.216,0.38,2286,38.1,61.2,0.624,0.813,1,5,4,5,2,4,5,3,1,2,5,3,4,1,1,5,2,5,4,2,2,5,2,1,1,5,5,5,5,5,2
FoBS_029,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),1,3,2,2,3,1,0.25,2,4,2,1,3,2,2,2,2,2,4,3,3,5,0.411,2,2,1,2,2,2,2,2,2,0.222,1,2,1,1,2,3,3,2,3,2,2,1,2,2,2,1,2,3,2,2,2,3,0.25,2,2,3,2,3,1,1,3,3,4,4,1,2,3,3,0.367,0.091,0.203,0.074,0.025,0.213,871,22.8,35.5,0.346,0.294,0,4,5,4,3,3,1,4,1,2,1,1,4,2,1,2,4,3,2,4,5,3,1,4,4,1,2,1,1,3,5
FoBS_030,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),1,2,1,2,1,2,0.125,3,2,3,2,3,2,3,2,2,2,3,4,2,3,0.393,2,2,1,2,2,4,2,3,1,0.278,1,3,1,2,1,2,2,2,2,1,3,2,1,3,3,3,1,2,2,1,2,4,0.25,3,3,4,2,3,2,4,2,4,4,5,3,3,5,3,0.583,0.031,0.176,0.121,0.025,0.694,1080,15.1,44.2,0.322,0.255,0,3,5,3,3,5,1,5,1,4,5,1,3,1,3,5,1,3,5,4,3,1,1,2,4,4,2,5,5,2,5
FoBS_031,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,3,4,4,3,3,0.542,2,2,2,3,2,1,2,4,2,3,1,2,2,3,0.304,3,3,2,3,3,2,3,1,3,0.389,1,2,2,1,2,1,2,3,3,2,1,1,4,5,2,4,3,3,4,3,2,2,0.352,2,3,2,2,2,1,2,5,1,2,3,3,2,3,4,0.367,0.595,0.082,0.29,0.069,0.213,1472,28.4,36.9,0.465,0.533,1,1,5,3,2,4,4,5,3,3,5,4,1,5,1,5,3,5,2,3,4,3,4,1,5,4,2,5,3,5,2
FoBS_032,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,3,4,1,2,3,0.375,2,2,2,3,2,2,1,2,1,2,2,2,2,3,0.25,4,1,1,1,2,2,1,1,1,0.139,2,2,4,2,3,1,4,3,1,2,2,2,1,3,2,3,2,3,3,3,1,2,0.33,2,2,1,2,3,1,3,2,2,2,2,2,3,1,2,0.25,0.24,0.05,0.034,0.055,0.079,614,15.6,13.8,0.17,0.087,0,2,5,4,3,3,3,3,4,5,1,3,3,1,3,1,4,3,4,5,1,4,4,4,4,5,1,5,3,4,2
FoBS_033,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,3,2,3,5,3,0.542,3,4,3,5,2,3,3,3,3,3,3,5,2,4,0.571,4,3,4,4,4,4,3,2,3,0.611,3,3,1,4,3,3,2,4,3,3,5,1,1,4,1,3,3,2,2,3,4,4,0.455,4,3,3,3,2,3,2,3,2,3,5,4,3,5,4,0.567,0.595,0.552,0.784,0.178,0.658,1153,29.8,64.6,0.53,0.663,1,1,5,4,5,2,2,1,4,5,3,1,3,5,1,5,5,4,1,2,3,2,1,1,2,1,2,5,3,2,3
FoBS_034,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,2,4,1,3,3,0.417,3,3,4,3,2,5,2,4,4,2,3,2,3,2,0.5,1,1,2,2,2,2,4,1,1,0.194,1,1,2,1,3,3,3,3,1,4,1,2,1,3,2,1,2,1,3,1,2,2,0.239,5,3,3,3,4,4,3,3,3,4,2,3,3,1,2,0.517,0.317,0.38,0.057,0.022,0.541,1965,47.3,47.7,0.58,0.749,1,5,4,4,2,3,1,1,5,4,3,4,4,3,5,2,2,1,5,4,2,1,3,4,3,5,1,2,4,4,2
FoBS_035,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,2,3,2,3,2,0.375,2,3,3,3,1,2,2,1,1,1,1,2,2,1,0.196,1,3,2,2,2,2,2,2,3,0.278,1,3,3,3,1,2,2,2,3,1,2,2,1,3,2,2,3,3,1,4,2,2,0.295,3,2,1,2,1,2,2,1,1,3,2,2,1,3,1,0.2,0.24,0.03,0.121,0.039,0.05,1362,22.7,43.0,0.429,0.456,0,3,4,2,2,4,2,2,5,5,1,3,4,5,3,5,5,2,3,4,2,1,5,3,5,3,4,3,2,4,4
FoBS_036,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,3,3,3,2,4,0.458,3,3,1,2,2,4,3,3,3,3,4,2,3,3,0.446,5,5,4,5,4,4,5,5,5,0.917,2,2,3,2,3,3,3,3,1,3,5,4,2,2,3,2,2,3,4,4,3,2,0.443,3,3,2,3,4,2,3,3,3,3,2,1,3,3,2,0.417,0.405,0.266,0.986,0.161,0.306,1346,36.0,31.6,0.401,0.398,0,1,1,2,3,3,3,3,1,2,3,5,5,2,2,2,2,1,1,1,1,1,5,4,3,2,2,1,3,5,3
