case_id,BEASE,FIN,BPRAC,EPSY,ENVO,GROWTH
FoBS_041,0.85,0.858,0.191,0.222,0.198,0.86
FoBS_042,0.844,0.833,0.856,0.864,0.845,0.82
FoBS_043,0.842,0.834,0.196,0.198,0.84,0.02
FoBS_044,0.848,0.853,0.15,0.861,0.18,0.95
FoBS_045,0.852,0.838,0.15,0.832,0.18,0.95
FoBS_046,0.02,0.02,0.841,0.855,0.47,0.02
FoBS_047,0.85,0.863,0.84,0.25,0.501,0.95
FoBS_048,0.854,0.844,0.86,0.247,0.237,0.02
FoBS_049,0.74,0.832,0.835,0.2,0.845,0.92
FoBS_050,0.02,0.838,0.2,0.447,0.84,0.02
FoBS_051,0.836,0.86,0.15,0.842,0.18,0.95
FoBS_052,0.856,0.84,0.837,0.25,0.501,0.95
FoBS_053,0.837,0.841,0.191,0.196,0.829,0.02
FoBS_054,0.02,0.02,0.835,0.819,0.482,0.02
FoBS_055,0.846,0.844,0.86,0.231,0.241,0.86
FoBS_056,0.74,0.846,0.819,0.2,0.832,0.92
FoBS_057,0.852,0.841,0.15,0.846,0.18,0.86
FoBS_058,0.74,0.844,0.861,0.2,0.857,0.92
FoBS_059,0.803,0.832,0.833,0.839,0.803,0.02
FoBS_060,0.847,0.846,0.15,0.844,0.18,0.95
FoBS_061,0.02,0.837,0.2,0.453,0.858,0.02
FoBS_062,0.851,0.846,0.832,0.25,0.501,0.86
FoBS_063,0.842,0.845,0.214,0.224,0.191,0.86
FoBS_064,0.02,0.02,0.837,0.818,0.492,0.02
FoBS_065,0.828,0.851,0.218,0.22,0.823,0.02
FoBS_066,0.839,0.886,0.182,0.166,0.183,0.02
FoBS_067,0.74,0.838,0.846,0.2,0.833,0.92
FoBS_068,0.841,0.851,0.15,0.845,0.18,0.95
FoBS_069,0.02,0.833,0.2,0.418,0.845,0.02
FoBS_070,0.85,0.02,0.844,0.469,0.208,0.02
FoBS_071,0.843,0.849,0.15,0.844,0.18,0.95
FoBS_072,0.02,0.851,0.2,0.458,0.869,0.02
FoBS_073,0.862,0.838,0.213,0.162,0.182,0.84
FoBS_074,0.837,0.846,0.819,0.828,0.828,0.02
FoBS_075,0.02,0.02,0.841,0.832,0.513,0.02
FoBS_076,0.838,0.02,0.821,0.468,0.176,0.02
FoBS_077,0.02,0.845,0.2,0.452,0.828,0.02
FoBS_078,0.02,0.872,0.2,0.484,0.842,0.02
FoBS_079,0.02,0.844,0.2,0.444,0.839,0.02
FoBS_080,0.847,0.85,0.839,0.25,0.501,0.95
FoBS_081,0.843,0.02,0.831,0.475,0.185,0.02
FoBS_082,0.866,0.817,0.208,0.192,0.208,0.02
FoBS_083,0.02,0.02,0.815,0.858,0.498,0.02
FoBS_084,0.02,0.02,0.839,0.839,0.501,0.02
FoBS_085,0.853,0.02,0.848,0.48,0.201,0.02
FoBS_086,0.02,0.842,0.2,0.437,0.836,0.02
FoBS_087,0.847,0.847,0.15,0.843,0.18,0.95
FoBS_088,0.02,0.847,0.2,0.455,0.842,0.02
FoBS_089,0.864,0.851,0.209,0.198,0.856,0.86
FoBS_090,0.847,0.85,0.855,0.25,0.501,0.95
FoBS_091,0.864,0.848,0.852,0.254,0.275,0.86
FoBS_092,0.847,0.855,0.855,0.25,0.501,0.95
FoBS_093,0.02,0.02,0.831,0.836,0.505,0.02
FoBS_094,0.852,0.02,0.84,0.524,0.191,0.02
FoBS_095,0.02,0.853,0.2,0.455,0.851,0.02
FoBS_096,0.02,0.02,0.832,0.828,0.513,0.02
FoBS_097,0.845,0.85,0.21,0.189,0.854,0.02
FoBS_098,0.853,0.86,0.842,0.25,0.501,0.95
FoBS_099,0.869,0.853,0.822,0.25,0.501,0.95
FoBS_100,0.74,0.861,0.82,0.2,0.824,0.92
FoBS_101,0.02,0.836,0.2,0.47,0.846,0.02
FoBS_102,0.877,0.857,0.83,0.25,0.501,0.95
FoBS_103,0.86,0.84,0.15,0.845,0.18,0.95
FoBS_104,0.837,0.858,0.854,0.25,0.501,0.95
FoBS_105,0.74,0.854,0.858,0.2,0.852,0.92
FoBS_106,0.847,0.863,0.827,0.25,0.501,0.95
FoBS_107,0.855,0.868,0.839,0.25,0.501,0.95
FoBS_108,0.836,0.855,0.848,0.857,0.866,0.82
FoBS_109,0.845,0.02,0.85,0.504,0.198,0.02
FoBS_110,0.848,0.856,0.15,0.855,0.18,0.95
FoBS_111,0.74,0.842,0.822,0.2,0.847,0.92
FoBS_112,0.856,0.85,0.15,0.825,0.18,0.95
FoBS_113,0.842,0.842,0.835,0.25,0.501,0.95
FoBS_114,0.85,0.851,0.814,0.25,0.501,0.95
FoBS_115,0.844,0.846,0.824,0.25,0.501,0.95
FoBS_116,0.838,0.02,0.835,0.481,0.188,0.02
FoBS_117,0.852,0.859,0.837,0.25,0.501,0.95
FoBS_118,0.02,0.842,0.2,0.445,0.836,0.02
FoBS_119,0.845,0.857,0.84,0.25,0.501,0.95
FoBS_120,0.885,0.843,0.19,0.198,0.172,0.86
FoBS_121,0.74,0.85,0.857,0.2,0.842,0.92
FoBS_122,0.02,0.02,0.851,0.858,0.471,0.02
FoBS_123,0.858,0.853,0.863,0.86,0.853,0.84
FoBS_124,0.84,0.837,0.834,0.25,0.501,0.84
FoBS_125,0.847,0.846,0.836,0.25,0.501,0.95
FoBS_126,0.02,0.02,0.851,0.849,0.495,0.02
FoBS_127,0.74,0.835,0.834,0.2,0.847,0.92
FoBS_128,0.823,0.837,0.194,0.176,0.838,0.84
FoBS_129,0.845,0.841,0.15,0.808,0.18,0.95
FoBS_130,0.02,0.02,0.863,0.836,0.478,0.02
FoBS_131,0.863,0.884,0.836,0.862,0.85,0.88
FoBS_132,0.819,0.852,0.178,0.187,0.829,0.02
FoBS_133,0.856,0.842,0.824,0.823,0.847,0.86
FoBS_134,0.848,0.854,0.15,0.843,0.18,0.95
FoBS_135,0.74,0.85,0.839,0.2,0.857,0.92
FoBS_136,0.848,0.858,0.846,0.25,0.501,0.86
FoBS_137,0.826,0.847,0.818,0.837,0.829,0.02
FoBS_138,0.868,0.862,0.15,0.821,0.18,0.95
FoBS_139,0.827,0.855,0.215,0.193,0.21,0.02
FoBS_140,0.02,0.843,0.2,0.461,0.857,0.02
FoBS_141,0.02,0.02,0.832,0.847,0.495,0.02
FoBS_142,0.02,0.02,0.828,0.834,0.503,0.02
FoBS_143,0.842,0.846,0.838,0.202,0.197,0.86
FoBS_144,0.858,0.848,0.824,0.25,0.501,0.95
FoBS_145,0.847,0.838,0.834,0.25,0.501,0.95
FoBS_146,0.83,0.02,0.849,0.488,0.18,0.02
FoBS_147,0.859,0.856,0.15,0.853,0.18,0.95
FoBS_148,0.74,0.852,0.825,0.2,0.827,0.92
FoBS_149,0.836,0.867,0.843,0.246,0.25,0.84
FoBS_150,0.849,0.859,0.863,0.25,0.501,0.95
FoBS_151,0.814,0.836,0.824,0.821,0.853,0.02
FoBS_152,0.846,0.857,0.838,0.25,0.501,0.95
FoBS_153,0.837,0.846,0.203,0.214,0.823,0.84
FoBS_154,0.831,0.02,0.855,0.499,0.191,0.02
FoBS_155,0.02,0.827,0.2,0.463,0.838,0.02
FoBS_156,0.817,0.859,0.829,0.833,0.854,0.82
FoBS_157,0.841,0.853,0.852,0.25,0.501,0.95
